# Input 0, Input 1, Input 2, Input 3, Input 4, Input 5, Input 6, Output 0
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.091640000000000515e-05
2.221412236196590364e-03 2.720645342222787269e-03 3.512291813090182273e-03 4.155745028917804534e-03 5.663102268212095482e-03 6.475834757145362656e-03 6.846086511050469663e-03 -2.388436000000000183e-04
4.442649077867371309e-03 5.440968467306827802e-03 7.023890338969866580e-03 8.310341648618817245e-03 1.132329824661276567e-02 1.294732361030459869e-02 1.368703816249764935e-02 -6.091639999999999159e-05
6.663535144335036922e-03 8.160647196274867926e-03 1.053410242727571486e-02 1.246264176724058703e-02 1.697768313689118971e-02 1.941012357200847319e-02 2.051772394610400230e-02 3.758140000000000308e-04
8.883895082618203237e-03 1.087935942646811593e-02 1.404223520131169488e-02 1.661149792754165050e-02 2.262335512297232801e-02 2.585989748586428258e-02 2.733302055347481413e-02 6.184419999999999718e-04
1.110355358127662617e-02 1.359678316969417829e-02 1.754759619481520427e-02 2.075576362399279493e-02 2.825741686022161664e-02 3.229231693720224089e-02 3.412781621876003618e-02 8.125444000000000330e-04
1.332233538425314952e-02 1.631259659036143200e-02 2.104949348864219860e-02 2.489429361960534409e-02 3.387697696235492800e-02 3.870306515785541801e-02 4.089701455269875024e-02 1.297800399999999915e-03
1.554006530471127752e-02 1.902647804359533512e-02 2.454723584734427866e-02 2.902594426240886344e-02 3.947915148529072826e-02 4.508783992312367928e-02 4.763553836513047951e-02 1.637479600000000049e-03
1.775656823886729435e-02 2.173810611333214238e-02 2.804013285561090738e-02 3.314957380149089611e-02 4.506106540718290976e-02 5.144235643897761973e-02 5.433833347310643852e-02 1.928633199999999978e-03
1.997166917981577777e-02 2.444715965038550542e-02 3.152749505454961049e-02 3.726404270251127554e-02 5.061985410387477569e-02 5.776235021756478960e-02 6.100037249174421194e-02 2.058034799999999657e-03
2.218519323134754764e-02 2.715331781048151150e-02 3.500863407777755204e-02 4.136821396260404599e-02 5.615266481901688006e-02 6.404357993908865732e-02 6.761665860498296265e-02 2.300662800000000032e-03
2.439696562175878991e-02 2.985626009225755134e-02 3.848286278729731030e-02 4.546095342457968230e-02 6.165665812809447560e-02 7.028183029813947491e-02 7.418222931341057758e-02 2.494765200000000852e-03
2.660681171765040195e-02 3.255566637522062934e-02 4.194949540913030933e-02 4.954113009034100124e-02 6.712900939561297631e-02 7.647291483256697664e-02 8.069216015635170824e-02 2.640341999999999949e-03
2.881455703771639357e-02 3.525121695766052221e-02 4.540784766868086880e-02 5.360761643342606964e-02 7.256691022469372032e-02 8.261267873299671383e-02 8.714156840542547355e-02 3.303525199999999933e-03
3.102002726652031139e-02 3.794259259451337324e-02 4.885723692580447308e-02 5.765928871059180366e-02 7.796756989833633633e-02 8.869700163110408320e-02 9.352561672680186067e-02 3.384401200000000057e-03
3.322304826825851071e-02 4.062947453517117002e-02 5.229698230955324295e-02 6.169502727235195300e-02 8.332821681160745841e-02 9.472180036477524656e-02 9.983951680941027806e-02 3.756430799999999678e-03
3.542344610050929959e-02 4.331154456123272045e-02 5.572640485257230464e-02 6.571371687238400372e-02 8.864609989402155721e-02 1.006830317182991624e-01 1.060785329563791041e-01 4.079934799999999744e-03
3.762104702796676553e-02 4.598848502419148471e-02 5.914482762512030672e-02 6.971424697571909634e-02 9.391849002138331903e-02 1.065766951357516451e-01 1.122379856370120943e-01 4.354913200000000255e-03
3.981567753615831290e-02 4.865997888305606534e-02 6.255157586868789754e-02 7.369551206563022816e-02 9.914268141636727039e-02 1.123988354057508382e-01 1.183132549966379732e-01 4.678417200000001622e-03
4.200716434514471798e-02 5.132570974189862301e-02 6.594597712918746912e-02 7.765641194913350254e-02 1.043159930371159450e-01 1.181455453157818636e-01 1.242997843217002463e-01 5.212198799999998022e-03
4.419533442320162930e-02 5.398536188732694363e-02 6.932736138968803585e-02 8.159585206101824251e-02 1.094357699531438161e-01 1.238129682743099452e-01 1.301930834574885343e-01 5.875382000000000174e-03
4.638001500048158365e-02 5.663862032587565348e-02 7.269506120266922000e-02 8.551274376632200802e-02 1.144993847078408511e-01 1.293973008989218187e-01 1.359887321759479517e-01 6.118010000000000115e-03
4.856103358265522613e-02 5.928517082131222471e-02 7.604841182176784453e-02 8.940600466116674361e-02 1.195042386668766776e-01 1.348947955687588574e-01 1.416823834910403701e-01 6.101834799999999830e-03
5.073821796453084620e-02 6.192469993185321930e-02 7.938675133299150088e-02 9.327455887187301176e-02 1.244477633518131787e-01 1.403017629395286459e-01 1.472697669191711245e-01 6.295937199999999782e-03
5.291139624365105709e-02 6.455689504728645556e-02 8.270942078537293907e-02 9.711733735226972530e-02 1.293274217582411068e-01 1.456145744194078384e-01 1.527466916822355358e-01 7.120872400000000449e-03
